name,href,desc
Jekyllrb,https://jekyllrb.com/, Transform your plain text into static websites and blogs.
Markdown Cheatsheet,https://github.com/adam-p/markdown-here/wiki/Markdown-Cheatsheet, Markdown quick reference and showcase
Github-flavored Markdown,https://help.github.com/articles/basic-writing-and-formatting-syntax/, Create sophisticated formatting for your prose and code on GitHub with simple syntax.
Liquid,https://shopify.github.io/liquid/,"Safe, customer facing template language for flexible web apps."
MkDocs,http://www.mkdocs.org/,"MkDocs is a fast, simple and downright gorgeous static site generator that's geared towards building project documentation."
